name,address,price_level,rating,user_ratings_total,types,lat,lng,reviews
Nirmana Cargo LLC,24B Street - Al Quoz - Al Quoz Industrial Area 2 - Dubai - United Arab Emirates,,3.6,106.0,"point_of_interest, establishment",25.128275,55.246334,"We recently used Nirmana cargo for an international shipment from Dubai to Sri Lanka and were incredibly impressed. From start to finish, the process was smooth and efficient. Their team was responsive, communicative, and kept us updated on the status of our shipment. The goods arrived safely and on time. Nirmana cargo’s competitive pricing and professional service make them a top choice for cargo needs. I specially want to thank Mr.Herby for his support and will looking forward to work with him in the future. ||| I am very disappointed with the service provided by Nirmana cargo company. The lady of (Colombo branch agent) was extremely unprofessional and does not know how to speak to customers.

We handed over our cargo box to your company on 18th June, and they have promised delivery within 20 to 25 days. However, it has still not been delivered. Every time we call, they are given excuses and stories.

My return flight is on the 18th, and I still have not
received my shipment. What is the solution to this?

Additionally, the lady answering the number mentioned above did not even pick up the phone
until noon, saying she was sleeping until then. This is completely unacceptable and unprofessional.

I would not recommend this cargo service to anyone based on this experience. It has been the worst service I’ve encountered👎👎👎 ||| Dear [nirmana Cargo Service] Team,

I would like to express my sincere gratitude for the prompt and secure delivery of my cargo box to my home. Your efficiency and attention to safety made the entire process smooth and worry-free.

I truly appreciate your professionalism and excellent service. Thank you for ensuring my shipment arrived quickly and in perfect condition.

Looking forward to using your services again in the future excellent ❤️ ||| 😡😡😡😡🤬
No one should send goods to Sri Lanka from this wretched company. Some of our most valuable goods were stolen from this Nirmana Cargo. I posted this review because I can't wait to see someone else get into trouble. Because of thieves like this, we can't send the goods we send home safely. We paid a lot of money and sent them door to door. When they open the customs, they are waiting. They can't get them from customs. Again, they steal the goods while they are packing. They stole this even though they were given a checklist. They are some big thieves. May Nirmana Cargo curse you. ||| I send 02 boxes to SL through niramana cargo and service from U.A.E. Agents are excellent. However, agent who did the delivery in SL spoke to my mother in very harsh manner. Even when he delivered the items i was on the video call with my mother and he spoke to her in an extremely aggressive manner. When my mum told him to not to speak to customers in a aggressive tone also threatened her saying that he will damage our house. I witnessed whole conversation while i was in the phone. This is not acceptable. Nirmana cargo should take whole responsibility of this situation. Really dissatisfied with the staff in SL."
Alma Cargo Services | Best Logistics and Shipping Company in Dubai | Customs Clearance Agent Dubai | Freight Forwarding UAE,Oppo Al Khail Mall - Latifa Bint Hamdan St - القوز - دبي - United Arab Emirates,,4.7,87.0,"storage, finance, point_of_interest, establishment",25.1482973,55.242168,"Very professional and an experienced company. Responsive and helpful team. Made fast custom clearance for my car. Special thanks to Shybin. Highly recommend! ||| Best clearing agent in Dubai and importer code renewal services done by Alma cargo I will recommend the service to everyone new to dubai who who start import and export services ||| I had a great experience with Alma Cargo Services when I needed help with customs clearance and delivery. From the start, the team was super helpful and responsive. I had quite a few questions, and they took the time to clarify everything for me quickly, which I really appreciated. Plus, their prices were better than many other companies I looked into. It's refreshing to find a service that's both efficient and affordable. I would definitely recommend Alma Cargo to anyone in need of logistics services, and I’ll be using them again for sure when the need arises. ||| I had an outstanding experience working with ALMA AL JUNAIBI FORWARDING & CLEARING LLC. to clear my vehicle from customs. From start to finish, they were professional, efficient, and highly knowledgeable about the entire process.

I truly appreciate their excellent communication, prompt responses, and willingness to go the extra mile. If you need help clearing a vehicle through customs, I highly recommend  ALMA AL JUNAIBI FORWARDING & CLEARING LLC. they are reliable, trustworthy, and deliver exceptional service! ||| I’m grateful for Alma Cargo, we arrived to Dubai from the US and based on some friends advice we shipped our cars and were told clearing them ourselves is easy.  Only to find out, you require an Agent.  Fast forward to Google search and I contacted Alma Cargo and two others, they were priced in the middle and had good reviews, and also, were the easiest to work with over the phone.

The process was smooth, they were available to answer my questions (and I had A LOT!) very quickly and put my mind at ease with the process.

Additionally, they referred an incredible insurance agent and walked us through the registration process.  I am very grateful for them and glad I used their services."
FILS International Freight and Logistic Services,Al Qouz Ind - Al Quoz - Area 2 - Dubai - United Arab Emirates,,4.7,6.0,"point_of_interest, establishment",25.12531869999999,55.24404750000001,Proffessional Service. |||  |||  |||  ||| 
AGS Logistics LLC,10 70B STREET - Al Quoz - Al Quoz Industrial Area 3 - Dubai - United Arab Emirates,,4.2,153.0,"storage, point_of_interest, establishment",25.1320858,55.2232055,"Very bad experience. Have shipped a package from Dubai to Jeddah with them, they promised me within 7 days it will be delivered and it has been 7 days and I am still waiting for them to confirm where the part is. Now they are saying it is in customs and they don't know when it will be cleared from there. They also informed me that it will take one and a half days after clearance from customers to reach my customer in Jeddah. ||| They having outstanding services to all over the world, and really appreciated the team for the on time delivery of my shipment. ||| Bad Service- wanted to shift within Dubai & 2 days they have still not shared the quotation!!……surely not recommended 😡 ||| Great experience.Thank you for the wonderful service that you are providing. ||| One of the best service in the town. 100% assurance 100% guaranteed service. Superb Quality. Top level management. Keep going. Special mention to Saudi teams. One of the best bestest service in the market."
Platinum Shipping WAREHOUSE,Al Qouz Industrial Area 2 - القوز - منطقة القوز الصناعية 2 - دبي - United Arab Emirates,,4.4,14.0,"point_of_interest, establishment",25.1349651,55.2437344,Great place for keeping stuff on rent. ||| Have a good experience ||| destination for all kind of shipping services ||| Good company ||| good
Jarry Logistic - Air & Sea Cargo Services Dubai,Business Bay - Dubai - United Arab Emirates,,,,"point_of_interest, establishment",25.1805241,55.2649047,
UN Cargo and Logistics,"Office 1004, Yes Business Tower - البرشاء - البرشاء 1 - دبي - United Arab Emirates",,3.6,8.0,"moving_company, point_of_interest, establishment",25.1116942,55.2059719,"Guys I’m recommending this company from deep heart👌 working with them already one year and no issues at all. The cheapest price on the market. (Believe me, I was searching a lot)
Everything organized super fast and my perfumes (which is dangerous goods product) delivered to Ukraine 🇺🇦
Special Thanks to Dildora, who is working there. She is super kind and always answering all questions.
I can  see professionalism in this company.
Thanks a lot and I’m so grateful to find you. ||| Hello All , Just wanted to share my experience about the UN Cargo and Logistics who is doing an excellent job taking care of (our) needs during these trying times with the COVID-19 pandemic. Everyone has been attentive to each group and individuals needs and it have been a pleasure working with as a whole. This UN Cargo Logistics team is amazing. Professional, timely, communicative. They work seamlessly and when troubleshooting is needed, they always find the right solution. Thank you all and best regards. ||| Excellent service and very good value for money. Very professional and efficient. Actually made the job of shipping my cargo, one of the most stressful times, as easy as it could have possibly been. I would recommend this company to anyone who is shipping cargo by air and sea. ||| UN Cargo is one of the most reputable cargo companies that I have ever worked with. Their service was fantastic & delivery was fast. Will definitely recommend. ||| This is a company that offers services that would suit a low budget.  Trouble is they will do a good job of breaking expensive items, stealing items from your boxes and failing to inform of the correct procedures needed to carry your personal goods. To add they will take no responsibility for anything.  I would NOT recommend their services. In it for the money and not to satisfy the customer. Very disappointing!"
Royal Logistics Dubai,"Office Number 1304, Bay View Tower - Business Bay - Dubai - United Arab Emirates",,,,"point_of_interest, establishment",25.181476,55.2700473,
Royal Desert Logistic LLC,Street # 8 - Al Quoz - Dubai - United Arab Emirates,,4.2,26.0,"point_of_interest, establishment",25.1455624,55.230964,"They are solutions providers for logistics.
Good team. ||| It.s not close I changed my office ||| Good service and staff ||| Good nice office location ||| Sincerity n honest."
Diallo Shipping Logistics & Transport LLC,Churchill Tower - 7 St - Business Bay - Dubai - United Arab Emirates,,5.0,2.0,"point_of_interest, establishment",25.181333,55.2621183,7.diallo.777 ||| Excellent
